4608,WA73597TSE,10,m offshore,sighted,1,Yallingup,Smiths Beach,3 x,NULL,2015-04-21T15:35,2.5m,unknown sp.,SLS Westpac Heli report,NULL,115.0069,-33.6504
4609,WA31636TSE,20,m offshore,sighted,1,Yallingup,Yallingup,NULL,NULL,2015-04-21T15:34,3m,unknown sp.,SLS Westpac Heli report,In the shallows,115.0148,-33.6328
4610,WA27568TSE,NULL,NULL,sighted,1,Gracetown,Honeycombs Surfing Spot,NULL,NULL,2015-04-21T14:46,2.5m,unknown sp.,SLS Lifesavers report,NULL,114.9907,-33.7733
4611,WA98223TSE,10,m offshore,sighted,1,Yallingup,Injidup Beach,NULL,NULL,2015-04-21T14:44,3m,tiger,SLS Lifesavers report,NULL,114.9918,-33.6896
4612,WA78259TSE,NULL,NULL,sighted,1,Dunsborough,Castle Bay,2  x,NULL,2015-04-21T11:10,4.5m,tiger,SLS Lifesavers report,NULL,115.0985,-33.581
4613,WA56322TSE,10,m offshore,sighted,1,Yallingup,Injidup Beach,NULL,NULL,2015-04-21T10:05,2.5m,unknown sp.,Public report,NULL,114.9918,-33.6896
4614,WA69899TSE,10,m offshore,sighted,1,Yallingup,Super Tubes Surfing Spot,2  x,NULL,2015-04-21T10:04,2.5m,unknown sp.,SLS Lifesavers report,NULL,115.01,-33.6479
4615,WA32338TSE,10,m offshore,sighted,1,Cape Naturaliste,Other Side of the Moon Surfing Spot,NULL,NULL,2015-04-21T09:38,2.5m,unknown sp.,SLS Westpac Heli report,NULL,114.993,-33.5347
4616,WA92478TSE,20,m offshore,sighted,1,Dunsborough,Castle Bay,NULL,NULL,2015-04-21T09:37,4.5m,tiger,SLS Westpac Heli report,NULL,115.1037,-33.573
4617,WA23134TSE,15,m offshore,sighted,1,Cape Naturaliste,Bunker Bay Beach,NULL,NULL,2015-04-20T12:47,2m,unknown sp.,Public report,NULL,115.0435,-33.5364
4618,WA12713TSE,10,m offshore,sighted,1,Gracetown,Umbies Surfing Spot,NULL,NULL,2015-04-20T12:46,3m,unknown sp.,SLS Lifesavers report,NULL,114.9739,-33.8908
4619,WA64182TSE,25,m offshore,sighted,1,Yallingup,Yallingup,NULL,NULL,2015-04-20T11:43,2.5m,unknown sp.,SLS Lifesavers report,NORTH OF MUFFLERS,115.0148,-33.6328
4620,WA41647TSE,10,m offshore,sighted,1,Yallingup,Smiths Beach,NULL,NULL,2015-04-20T11:40,3m,unknown sp.,SLS Westpac Heli report,NULL,115.0069,-33.6504
4621,WA24471TSE,10,m offshore,sighted,1,Yallingup,Super Tubes Surfing Spot,2  x,NULL,2015-04-20T11:38,2.5m,unknown sp.,SLS Westpac Heli report,Between Torpedo Rocks and Supertubes,115.01,-33.6479
4622,WA23439TSE,10,m offshore,sighted,1,Cape Naturaliste,Windmills Surfing Spot,NULL,NULL,2015-04-20T11:17,2.5m,unknown sp.,SLS Lifesavers report,TRACKING NORTH,114.9984,-33.5496
4623,WA27548TSE,4,m offshore,sighted,1,Cape Naturaliste,The Farm Surfing Spot,NULL,NULL,2015-04-20T11:16,2.5m,unknown sp.,SLS Lifesavers report,TRACKING SOUTH,115.0433,-33.5341
4624,WA28772TSE,10,m offshore,sighted,1,Cape Naturaliste,Bunker Bay,2  x,NULL,2015-04-20T11:14,2.5m,unknown sp.,SLS Lifesavers report,AT THE BONEYARDS,115.0447,-33.5364
4625,WA18358TSE,150,m offshore,sighted,1,Busselton,Geographe Bay,NULL,NULL,2015-04-20T11:12,2.5m,unknown sp.,SLS Lifesavers report,NR THE BROADWATER HOTEL,115.3196,-33.6249
4626,WA87726TSE,20,m offshore,sighted,1,Perth Metro,Rous Head Harbour,NULL,NULL,2015-04-18T14:28,3.5m,unknown sp.,SLS Lifesavers report,tracking north,115.7193,-32.046
4627,WA67858TSE,2,km offshore,sighted,1,Cape Arid Nat Park,Cape Arid Beach,NULL,NULL,2015-04-18T12:37,4m,white,Fisheries advise,NULL,123.1885,-34.0187
4628,WA73336TSE,100,m offshore,sighted,1,Yallingup,Super Tubes Surfing Spot,NULL,NULL,2015-04-17T15:05,3.5m,unknown sp.,SLS Westpac Heli report,NULL,115.01,-33.6479
4629,WA47198TSE,50,m offshore,sighted,1,Cape Naturaliste,The Farm Surfing Spot,2  x,NULL,2015-04-17T15:03,2.5m,unknown sp.,SLS Westpac Heli report,NULL,115.0433,-33.5341
